id,left,top,right,bottom,row_index,col_index
11846,128.530852893000002,35.717196240999996,128.533672893000016,35.714946241000000,133,64
11847,128.530852893000002,35.714946241000000,128.533672893000016,35.712696241000003,134,64
11844,128.530852893000002,35.721696240999997,128.533672893000016,35.719446241000000,131,64
11845,128.530852893000002,35.719446241000000,128.533672893000016,35.717196241000003,132,64
11802,128.530852893000002,35.816196241000000,128.533672893000016,35.813946241000004,89,64
11803,128.530852893000002,35.813946240999996,128.533672893000016,35.811696241000000,90,64
11800,128.530852893000002,35.820696241000000,128.533672893000016,35.818446241000004,87,64
11801,128.530852893000002,35.818446240999997,128.533672893000016,35.816196241000000,88,64
11806,128.530852893000002,35.807196241000000,128.533672893000016,35.804946241000003,93,64
11807,128.530852893000002,35.804946240999996,128.533672893000016,35.802696241000000,94,64
11804,128.530852893000002,35.811696241000000,128.533672893000016,35.809446241000003,91,64
11805,128.530852893000002,35.809446240999996,128.533672893000016,35.807196241000000,92,64
11794,128.530852893000002,35.834196240999994,128.533672893000016,35.831946240999997,81,64
11795,128.530852893000002,35.831946240999997,128.533672893000016,35.829696241000001,82,64
11792,128.530852893000002,35.838696240999994,128.533672893000016,35.836446240999997,79,64
11793,128.530852893000002,35.836446240999997,128.533672893000016,35.834196241000001,80,64
11798,128.530852893000002,35.825196241000000,128.533672893000016,35.822946241000004,85,64
11799,128.530852893000002,35.822946240999997,128.533672893000016,35.820696241000000,86,64
11796,128.530852893000002,35.829696240999994,128.533672893000016,35.827446240999997,83,64
11797,128.530852893000002,35.827446240999997,128.533672893000016,35.825196241000000,84,64
11786,128.530852893000002,35.852196240999994,128.533672893000016,35.849946240999998,73,64
11787,128.530852893000002,35.849946240999998,128.533672893000016,35.847696241000001,74,64
11784,128.530852893000002,35.856696240999995,128.533672893000016,35.854446240999998,71,64
11785,128.530852893000002,35.854446240999998,128.533672893000016,35.852196241000001,72,64
11790,128.530852893000002,35.843196240999994,128.533672893000016,35.840946240999997,77,64
11791,128.530852893000002,35.840946240999997,128.533672893000016,35.838696241000001,78,64
11788,128.530852893000002,35.847696240999994,128.533672893000016,35.845446240999998,75,64
11789,128.530852893000002,35.845446240999998,128.533672893000016,35.843196241000001,76,64
11778,128.530852893000002,35.870196240999995,128.533672893000016,35.867946240999999,65,64
11779,128.530852893000002,35.867946240999999,128.533672893000016,35.865696241000002,66,64
11776,128.530852893000002,35.874696240999995,128.533672893000016,35.872446240999999,63,64
11777,128.530852893000002,35.872446240999999,128.533672893000016,35.870196241000002,64,64
11782,128.530852893000002,35.861196240999995,128.533672893000016,35.858946240999998,69,64
11783,128.530852893000002,35.858946240999998,128.533672893000016,35.856696241000002,70,64
11780,128.530852893000002,35.865696240999995,128.533672893000016,35.863446240999998,67,64
11781,128.530852893000002,35.863446240999998,128.533672893000016,35.861196241000002,68,64
11834,128.530852893000002,35.744196240999997,128.533672893000016,35.741946241000001,121,64
11835,128.530852893000002,35.741946240999994,128.533672893000016,35.739696240999997,122,64
11832,128.530852893000002,35.748696240999998,128.533672893000016,35.746446241000001,119,64
11833,128.530852893000002,35.746446240999994,128.533672893000016,35.744196240999997,120,64
11838,128.530852893000002,35.735196240999997,128.533672893000016,35.732946241000000,125,64
11839,128.530852893000002,35.732946241000000,128.533672893000016,35.730696241000004,126,64
11836,128.530852893000002,35.739696240999997,128.533672893000016,35.737446241000001,123,64
11837,128.530852893000002,35.737446240999994,128.533672893000016,35.735196240999997,124,64
11826,128.530852893000002,35.762196240999998,128.533672893000016,35.759946241000002,113,64
11827,128.530852893000002,35.759946240999994,128.533672893000016,35.757696240999998,114,64
11824,128.530852893000002,35.766696240999998,128.533672893000016,35.764446241000002,111,64
11825,128.530852893000002,35.764446240999995,128.533672893000016,35.762196240999998,112,64
11830,128.530852893000002,35.753196240999998,128.533672893000016,35.750946241000001,117,64
11831,128.530852893000002,35.750946240999994,128.533672893000016,35.748696240999998,118,64
