grid_id,연도,월,구,포트홀 발생수,left,top,right,bottom
325,2021,1,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2021,2,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2021,3,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2021,4,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2021,5,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2021,6,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2021,7,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2021,8,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2021,9,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2021,10,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2021,11,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2021,12,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2022,1,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2022,2,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2022,3,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2022,4,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2022,5,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2022,6,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2022,7,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2022,8,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2022,9,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2022,10,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2022,11,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2022,12,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2024,1,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2024,2,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2024,3,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2024,4,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2024,5,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2024,6,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
325,2024,7,달성군,0,128.35319289300003,35.699196241,128.35601289300004,35.696946241
326,2021,1,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2021,2,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2021,3,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2021,4,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2021,5,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2021,6,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2021,7,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2021,8,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2021,9,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2021,10,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2021,11,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2021,12,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2022,1,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2022,2,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2022,3,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2022,4,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2022,5,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2022,6,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2022,7,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2022,8,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2022,9,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2022,10,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2022,11,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2022,12,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2024,1,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2024,2,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2024,3,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2024,4,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2024,5,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2024,6,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
326,2024,7,달성군,0,128.35319289300003,35.696946241,128.35601289300004,35.694696241
506,2021,1,달성군,0,128.356012893,35.703696241,128.35883289300003,35.701446241
506,2021,2,달성군,0,128.356012893,35.703696241,128.35883289300003,35.701446241
506,2021,3,달성군,0,128.356012893,35.703696241,128.35883289300003,35.701446241
506,2021,4,달성군,0,128.356012893,35.703696241,128.35883289300003,35.701446241
506,2021,5,달성군,0,128.356012893,35.703696241,128.35883289300003,35.701446241
506,2021,6,달성군,0,128.356012893,35.703696241,128.35883289300003,35.701446241
506,2021,7,달성군,0,128.356012893,35.703696241,128.35883289300003,35.701446241
506,2021,8,달성군,0,128.356012893,35.703696241,128.35883289300003,35.701446241
506,2021,9,달성군,0,128.356012893,35.703696241,128.35883289300003,35.701446241
506,2021,10,달성군,0,128.356012893,35.703696241,128.35883289300003,35.701446241
506,2021,11,달성군,0,128.356012893,35.703696241,128.35883289300003,35.701446241
506,2021,12,달성군,0,128.356012893,35.703696241,128.35883289300003,35.701446241
506,2022,1,달성군,0,128.356012893,35.703696241,128.35883289300003,35.701446241
506,2022,2,달성군,0,128.356012893,35.703696241,128.35883289300003,35.701446241
506,2022,3,달성군,0,128.356012893,35.703696241,128.35883289300003,35.701446241
